Group,Component,Layer,mean_Logit,std_Logit,sem_Logit,count_Logit,mean_Posteriors,std_Posteriors,sem_Posteriors,count_Posteriors
Control (Single Error),attn,0,0.016513149953393,0.026176570519188622,0.006995982745966507,14,0.1452364938482942,0.43673064352163327,0.116721174168804,14
Control (Single Error),attn,1,0.017237363737430136,0.01551057651911724,0.004145375943276962,14,0.0887201910472343,0.21002269831427214,0.056130927181270815,14
Control (Single Error),attn,2,0.016909539564905974,0.01972377663703469,0.005271401039217153,14,0.17912512880133666,0.4363039662590138,0.11660713987370054,14
Control (Single Error),attn,3,0.0236596482014575,0.018758719098873545,0.0050134785630512576,14,0.1531591108173377,0.414007370129876,0.1106481239018074,14
Control (Single Error),attn,4,0.04163720965420513,0.019150799321478656,0.0051182664102739995,14,0.19388763973277298,0.3318457541338358,0.088689508373174,14
Control (Single Error),attn,5,0.022410920190390513,0.025228635464455595,0.0067426364459862356,14,0.11412666097487367,0.19469731565703674,0.05203504637951495,14
Control (Single Error),attn,6,0.021275330767209964,0.05512449589168565,0.014732641231808242,14,0.08392787639031785,0.23642953402193115,0.06318845088747711,14
Control (Single Error),attn,7,0.029689219681598357,0.023479521593962868,0.006275166100712102,14,0.13752221071751586,0.29687776408756655,0.07934391992622677,14
Control (Single Error),attn,8,0.03340442179756749,0.031405603262749035,0.008393500531011193,14,0.16829167997803557,0.3982974008326353,0.10644945799702081,14
Control (Single Error),attn,9,0.015510504736087892,0.023304309459520715,0.006228338688062966,14,0.04586959005612805,0.27488049867595066,0.0734649034536411,14
Control (Single Error),attn,10,0.03011594615850505,0.034178810991010035,0.009134671472547361,14,-0.051077986175418956,0.5278028381016336,0.14106124199594489,14
Control (Single Error),attn,11,0.02691345937894128,0.025992440979780467,0.00694677205659152,14,0.09782120011423825,0.17323678321202735,0.046299477826159854,14
Control (Single Error),attn,12,0.015152642469336172,0.04372478649841351,0.011685940741921601,14,0.16521975120036733,0.4027325338001307,0.10763479714196036,14
Control (Single Error),attn,13,0.020657788836509556,0.02386620046560479,0.006378510376168418,14,0.02427330544838689,0.6670196190496676,0.17826849176716636,14
Control (Single Error),attn,14,0.04166492432257134,0.02226213673346763,0.005949806311010761,14,0.17329474463203395,0.40427409391401015,0.10804679641247844,14
Control (Single Error),attn,15,0.022279965191720073,0.023962716767370152,0.0064043054428430226,14,0.03433917702184945,0.2269450928879465,0.060653627371163095,14
Control (Single Error),attn,16,0.021221198280757244,0.025078562217403722,0.006702527683601323,14,-0.009195236878820612,0.23783879615492357,0.06356509203532082,14
Control (Single Error),attn,17,0.05090597146484035,0.02609197361213398,0.006973373271525134,14,0.1946422793850723,0.39943073687086744,0.10675235479410283,14
Control (Single Error),head 0,0,0.000652679737147884,0.00809698182481522,0.002164009418242444,14,0.0058534958911156815,0.12301594978243324,0.03287739551388954,14
Control (Single Error),head 0,1,0.002814403197114253,0.012191891194607934,0.0032584199819320676,14,0.014640863527143791,0.09639018513767285,0.025761360588062956,14
Control (Single Error),head 0,2,0.0020921955252480432,0.006763094261553461,0.0018075129715135689,14,0.03294351455758153,0.22555218063566956,0.06028135591274453,14
Control (Single Error),head 0,3,0.00408201421116009,0.015381351262887463,0.0041108390408105405,14,0.03481202354205525,0.14349095137602944,0.038349569867952925,14
Control (Single Error),head 0,4,0.007583396315137451,0.007436289492489146,0.001987431964982961,14,0.06874540340922786,0.13163070541906274,0.0351797858041072,14
Control (Single Error),head 0,5,-0.0010364265771462254,0.010113673019424214,0.0027029928114674947,14,0.007159285045360752,0.12753418868552352,0.03408494565438648,14
Control (Single Error),head 0,6,-0.0004735908689742446,0.032953450682403,0.008807180154678854,14,0.043247545758140306,0.11538912006340483,0.03083903953132742,14
Control (Single Error),head 0,7,-0.0026522389815009243,0.014832551216312273,0.003964166058801259,14,0.03579003612406472,0.07049924171724044,0.01884171489523388,14
Control (Single Error),head 0,8,-0.0031770639319645133,0.0075388116821309675,0.0020148321727102153,14,0.03690085629589784,0.06907603097813603,0.018461345825597737,14
Control (Single Error),head 0,9,-0.002502704238654491,0.010470554062126361,0.0027983732821550713,14,0.01579710587304449,0.1615994985103032,0.043189282664288606,14
Control (Single Error),head 0,10,0.001445306469644772,0.0056293013420207535,0.0015044940677677438,14,0.039833257039477946,0.09400028114464595,0.025122631878835126,14
Control (Single Error),head 0,11,-0.000928328976614591,0.012630461625748624,0.0033756328600247957,14,0.0703833882387291,0.16784976819498929,0.04485973750250539,14
Control (Single Error),head 0,12,-0.0034500328045102605,0.010402175712593713,0.0027800983995390537,14,0.01608074299534181,0.10208350690403024,0.027282964833946672,14
Control (Single Error),head 0,13,0.001012175291891136,0.01266687540569837,0.003385364852076891,14,-0.013912819164881558,0.1632964470746766,0.04364281124506455,14
Control (Single Error),head 0,14,0.01378291906556057,0.02022356748572584,0.005404975762134813,14,0.06740135722666975,0.27235469421289926,0.07278985381601805,14
Control (Single Error),head 0,15,0.00336428305558501,0.010660176228135474,0.002849051937736791,14,-0.02356783616282438,0.1406659273999692,0.03759455045167869,14
Control (Single Error),head 0,16,0.001593645723211589,0.010301811391688313,0.00275327490649018,14,-0.00040761589308754793,0.06989343767863224,0.018679806955519886,14
Control (Single Error),head 0,17,0.008044519368744237,0.022994038396574882,0.006145415258450574,14,0.006593872819809893,0.0710348568534205,0.018984864061716452,14
Control (Single Error),head 1,0,0.0020210475063732474,0.008018264597715997,0.0021429713543680033,14,-0.004328071216130063,0.24081000027619837,0.06435917973874804,14
Control (Single Error),head 1,1,0.0012171260008425344,0.00840074249228752,0.002245192871475238,14,-0.07344302896750242,0.26682419918732664,0.071311766847093,14
Control (Single Error),head 1,2,0.003972102342293193,0.012109257284941775,0.0032363351406106107,14,0.04038050618538653,0.18575730951231434,0.04964572923457174,14
Control (Single Error),head 1,3,0.0008288316108584649,0.007042962739208627,0.001882310968423828,14,-0.0009353681019791353,0.07804017253232678,0.020857113430049527,14
Control (Single Error),head 1,4,0.002634280571106097,0.010814526481397278,0.0028903037781130374,14,0.05941507309978903,0.12413017242603087,0.033175184041384385,14
Control (Single Error),head 1,5,-0.005901931589081899,0.00854141249218549,0.00228278851034779,14,0.013052291226997748,0.10134328923053085,0.027085133339241698,14
