Group,Component,Layer,mean_Logit,std_Logit,sem_Logit,count_Logit,mean_Posteriors,std_Posteriors,sem_Posteriors,count_Posteriors
Control (Single Error),attn,0,0.4124232700892857,0.6147522724037792,0.16429945579111904,14,5.1987594068050385,8.917712784934013,2.383358993919769,14
Control (Single Error),attn,1,0.5570940290178571,0.9545474597330865,0.2551135395526146,14,8.78229506952422,16.687730343785358,4.459983536379724,14
Control (Single Error),attn,2,0.7256208147321429,1.24276527236229,0.33214299009717796,14,8.604988830430168,15.857194476775536,4.238013489109867,14
Control (Single Error),attn,3,0.8478655133928571,1.1897753444257342,0.3179808361480042,14,11.63011686716761,22.407142471274614,5.988560724581483,14
Control (Single Error),attn,4,1.098876953125,0.8986172346395963,0.24016555813368698,14,12.355536835534233,25.001980836781883,6.682060448708961,14
Control (Single Error),attn,5,0.9498814174107143,0.9326834483756078,0.24927013672402748,14,8.500966714961189,12.498786037864566,3.340441078877354,14
Control (Single Error),attn,6,1.0313895089285714,1.145259377054052,0.30608344342331545,14,8.85446662562234,14.582121116960787,3.897235799436329,14
Control (Single Error),attn,7,0.9863978794642857,1.0373993263001977,0.27725663230610326,14,9.270961689097541,16.477706774814546,4.4038523765057045,14
Control (Single Error),attn,8,0.89013671875,0.6084467572779282,0.1626142359876865,14,8.33522316813469,14.384615529005023,3.844450210714628,14
Control (Single Error),attn,9,0.6534946986607143,0.5445343097362216,0.14553291588402736,14,5.311358639172146,8.002112079166041,2.138654412200329,14
Control (Single Error),attn,10,1.181640625,0.9036030450205667,0.24149807200804496,14,9.436552673578262,13.76984372803291,3.6801455356940833,14
Control (Single Error),attn,11,0.8797433035714286,0.6041712465024733,0.16147155766802854,14,17.19118599806513,41.571302950235946,11.11039805439769,14
Control (Single Error),attn,12,0.9802594866071429,0.973057443983594,0.26006054093118464,14,9.131296775170735,15.495855159609633,4.1414414944523195,14
Control (Single Error),attn,13,0.9436383928571429,0.998837027934899,0.26695042455399604,14,6.940407816852842,9.736714523388883,2.6022464156676524,14
Control (Single Error),attn,14,1.2191685267857142,0.7801311722980075,0.20849882596296102,14,11.91068200128419,19.627608395411826,5.245698995528492,14
Control (Single Error),attn,15,1.2044154575892858,1.0865580540687652,0.2903948549403654,14,18.374005390065058,34.271062888205805,9.159326829160682,14
Control (Single Error),attn,16,1.2244001116071428,1.2709749862477717,0.339682353264206,14,12.059832125902176,19.666096953601855,5.255985495389777,14
Control (Single Error),attn,17,2.041469029017857,2.4317449422661155,0.6499111732842988,14,19.469390830823354,40.76562199040204,10.895070760487286,14
Control (Single Error),head 0,0,0.20710100446428573,0.20576413573270322,0.05499277845695892,14,2.971488360847746,5.148627041469132,1.3760284572469317,14
Control (Single Error),head 0,1,0.18784877232142858,0.24251006186235682,0.06481354030959235,14,3.050503956420081,5.288538599547143,1.413421394016763,14
Control (Single Error),head 0,2,0.198486328125,0.24544541282800922,0.06559804585412145,14,3.3938860084329336,6.113976364668534,1.634028916244522,14
Control (Single Error),head 0,3,0.22795758928571427,0.23304510964541042,0.0622839254254495,14,3.5831033289432526,5.7173907179226635,1.5280369437705787,14
Control (Single Error),head 0,4,0.58642578125,0.5237045570354009,0.13996593030847732,14,4.737519068377359,6.692826392417969,1.7887330935418775,14
Control (Single Error),head 0,5,0.32407924107142855,0.4597409242081894,0.12287093036184647,14,2.9063033759593964,5.444172232619728,1.4550162320750846,14
Control (Single Error),head 0,6,0.4197474888392857,0.48982967401480054,0.1309124870027536,14,4.016662951026644,6.458373524662355,1.7260729289355825,14
Control (Single Error),head 0,7,0.29837472098214285,0.3132131487831129,0.0837097351270757,14,2.8996306785515378,4.818059540021204,1.287680576274071,14
Control (Single Error),head 0,8,0.2353515625,0.24473245573702668,0.06540750005655517,14,3.0701068469456265,6.109324878530468,1.632785754282524,14
Control (Single Error),head 0,9,0.24424525669642858,0.24589686666638405,0.06571870196763163,14,2.420293058667864,4.438616852740617,1.186270252436874,14
Control (Single Error),head 0,10,0.27256556919642855,0.28171124440194656,0.07529049703955876,14,4.043298044375011,8.015013638624607,2.1421024990038315,14
Control (Single Error),head 0,11,0.30943080357142855,0.2829372578979399,0.07561816292909933,14,6.623625418969563,15.929453375066458,4.257325492006322,14
Control (Single Error),head 0,12,0.19757952008928573,0.21494689660439684,0.057446974531712575,14,2.0665318880762373,3.147260399264901,0.8411407229293301,14
Control (Single Error),head 0,13,0.19315011160714285,0.14573849998584057,0.038950252500669594,14,2.0220372463975633,3.1237180344468998,0.8348487612705157,14
Control (Single Error),head 0,14,0.8105119977678571,0.6328409147423393,0.16913384880703228,14,6.753776656729834,10.771525001168964,2.878811149103146,14
Control (Single Error),head 0,15,0.472412109375,0.5678034702469812,0.1517518606203925,14,3.2434149214199612,5.207111136268487,1.3916589890551312,14
Control (Single Error),head 0,16,0.244140625,0.16284747020898666,0.043522817130350305,14,4.187855226652963,8.858194024678157,2.367451936136701,14
Control (Single Error),head 0,17,0.34507533482142855,0.29379374954482573,0.07851968236945789,14,3.346961242812021,7.273646354371031,1.9439637579009796,14
Control (Single Error),head 1,0,0.22300502232142858,0.32908353029386633,0.08795127299926365,14,2.3763400614261627,3.9651592938225755,1.059733397247613,14
