Group,Component,Layer,mean_Logit,std_Logit,sem_Logit,count_Logit,mean_Posteriors,std_Posteriors,sem_Posteriors,count_Posteriors
Control (Single Error),attn,0,0.5028852867068354,0.01350827538605476,0.003610238455772029,14,0.5038706514116973,0.19488009946888687,0.052083897408071504,14
Control (Single Error),attn,1,0.4981566266932565,0.01606554767294269,0.004293698223073923,14,0.5157831003100484,0.1249532666165318,0.03339516521694857,14
Control (Single Error),attn,2,0.5014173932002189,0.01623029201143518,0.004337727999577466,14,0.5207127630626257,0.13325223131387298,0.03561315682854734,14
Control (Single Error),attn,3,0.5010065573129198,0.015975070816116196,0.004269517265954142,14,0.5408933280225521,0.15710411633336852,0.041987841240810064,14
Control (Single Error),attn,4,0.49922650299832283,0.01094063275479978,0.002924007097355538,14,0.5543370427904251,0.1321791138746087,0.03532635412901169,14
Control (Single Error),attn,5,0.4973978726818535,0.015073336511169636,0.004028518635739087,14,0.5326673894496546,0.1618031347320345,0.04324370673380687,14
Control (Single Error),attn,6,0.5009124590183017,0.014291558156017018,0.003819579581640746,14,0.561952359889383,0.1618899966990628,0.043266921570989804,14
Control (Single Error),attn,7,0.49972529230754253,0.016058375047745096,0.004291781258355841,14,0.5759234869672522,0.15385190803984383,0.04111865201332477,14
Control (Single Error),attn,8,0.5010975396453785,0.012763576530175078,0.0034112093146988634,14,0.5755703708759722,0.15578592410364064,0.04163553954841369,14
Control (Single Error),attn,9,0.5012002878029551,0.010396057119841087,0.0027784631368412307,14,0.5680385847787467,0.1758614205145692,0.04700094165120687,14
Control (Single Error),attn,10,0.4998736306674774,0.010886734733061868,0.002909602245129241,14,0.5479516124173648,0.1253832188782628,0.03351007479238184,14
Control (Single Error),attn,11,0.4986565808036222,0.00939365340500026,0.002510559475115244,14,0.5616061617746542,0.13776888277528251,0.03682028270740922,14
Control (Single Error),attn,12,0.4962582675956911,0.010345730506348986,0.002765012783618085,14,0.5464108609858619,0.1314954445077632,0.03514363580497108,14
Control (Single Error),attn,13,0.5010083686199279,0.008964462956877639,0.002395853502933042,14,0.5244666270750801,0.1213923558609276,0.03244347178606648,14
