Group,Component,Layer,mean_Logit,std_Logit,sem_Logit,count_Logit,mean_Posteriors,std_Posteriors,sem_Posteriors,count_Posteriors
Control (Single Error),attn,0,1.36181640625,0.49038201183243596,0.13106010549385003,14,7.050293360437665,10.340248077952754,2.763547542996212,14
Control (Single Error),attn,1,1.7439313616071428,1.5327751758067325,0.409651397058642,14,9.603656730481557,16.54930412199668,4.422987572431237,14
Control (Single Error),attn,2,1.8026646205357142,1.8044004295917384,0.4822462997200001,14,10.010528828416552,16.30392841780208,4.357408156993052,14
Control (Single Error),attn,3,1.89697265625,1.7944335988602171,0.4795825521607628,14,13.873282057898384,23.55773696139619,6.296070036948969,14
Control (Single Error),attn,4,1.9762137276785714,1.542500632986739,0.4122506348227366,14,16.0423860677651,27.157031042798867,7.258021843152687,14
Control (Single Error),attn,5,1.7880859375,1.26771487341291,0.3388110514591862,14,9.55748861176627,12.121262744293333,3.2395437345866376,14
Control (Single Error),attn,6,1.9737723214285714,1.2168564908258943,0.3252185769673232,14,10.296989287648882,15.133616734273893,4.044629203028689,14
Control (Single Error),attn,7,1.8771623883928572,1.0668208561553476,0.28511986691415403,14,11.431940598147255,16.482909048019586,4.405242742503251,14
Control (Single Error),attn,8,1.9716099330357142,1.260388529770102,0.33685300375853217,14,9.485373160668782,13.869076917427947,3.706666721130732,14
Control (Single Error),attn,9,1.6605747767857142,0.7659998111251245,0.20472206082598327,14,10.499091548579079,16.775537150448486,4.483450892576876,14
Control (Single Error),attn,10,2.09375,1.2877333824815393,0.34416122305410324,14,25.68770225558962,55.763075683790284,14.903308860106305,14
Control (Single Error),attn,11,2.026576450892857,1.3470223248278161,0.36000685941724325,14,18.67539188691548,41.232120061946674,11.019747614438057,14
Control (Single Error),attn,12,1.9446847098214286,1.0935525641109805,0.29226421638081673,14,13.675575579915728,21.728971774507826,5.807311981934977,14
Control (Single Error),attn,13,1.796875,0.9014687120531957,0.24092764752853077,14,13.793827959469386,26.531619428220488,7.090873558334015,14
Control (Single Error),attn,14,2.02392578125,0.8481660788380112,0.22668191957823813,14,13.661264044897896,19.823030123010916,5.297927649143297,14
Control (Single Error),attn,15,2.4248744419642856,1.6716901495398113,0.44677798545877645,14,20.399284745965684,33.76115118955096,9.023047195312513,14
Control (Single Error),attn,16,2.6819893973214284,2.3877040413933317,0.6381407474220966,14,16.618361524173192,23.796211077714723,6.359804925440228,14
Control (Single Error),attn,17,2.320591517857143,2.3490942309395235,0.6278218415302085,14,22.481440322739736,41.166974292666495,11.002336675234897,14
Control (Single Error),mlp,0,1.7154017857142858,0.6690933667098312,0.17882272414223466,14,15.559835723468236,21.95546268007894,5.867844222639784,14
Control (Single Error),mlp,1,1.7145647321428572,1.0154448709828499,0.271389057312478,14,15.005299866199493,28.042770113384858,7.494745567167855,14
Control (Single Error),mlp,2,2.10546875,2.0342345933805976,0.5436720637681142,14,12.763753380094256,21.101545258733324,5.639625192120299,14
Control (Single Error),mlp,3,1.7557198660714286,0.7977678277919941,0.21321242041346544,14,13.731933457510811,21.931995987818283,5.861572485322623,14
Control (Single Error),mlp,4,1.9334542410714286,1.0645210657475188,0.28450522207361945,14,16.91449269226619,26.246463085216625,7.014662319963597,14
Control (Single Error),mlp,5,1.83544921875,0.7753306164034013,0.20721582343269856,14,14.741147134985242,20.41986362259399,5.457438111456806,14
Control (Single Error),mlp,6,2.0030691964285716,1.276131480135279,0.34106048422449503,14,13.372486506189619,16.984141485299947,4.539202746177592,14
Control (Single Error),mlp,7,2.0789620535714284,1.1350744586607024,0.30336140948473217,14,13.147476017475128,16.51935669877314,4.4149837869084365,14
Control (Single Error),mlp,8,1.8427734375,0.8730642684283128,0.23333624064951314,14,10.686659276485443,17.265084417801322,4.614287903224428,14
Control (Single Error),mlp,9,1.88916015625,0.8128169192199456,0.2172344592781534,14,12.51960928099496,17.914837531579842,4.78794172734934,14
Control (Single Error),mlp,10,1.89599609375,1.0749049074700499,0.2872804205082051,14,10.379956901073456,13.92062731492119,3.7204441443858545,14
Control (Single Error),mlp,11,1.9409877232142858,1.2195207443336389,0.3259306286685725,14,20.67036200421197,46.819057295540134,12.51291939797501,14
Control (Single Error),mlp,12,2.0265066964285716,1.2078124573101838,0.3228014573380168,14,12.881224376814705,18.265981957757383,4.881789022780175,14
Control (Single Error),mlp,13,2.0073939732142856,1.5145970591773712,0.40479309103265,14,17.966001885277883,25.96030074352767,6.93818221713524,14
Control (Single Error),mlp,14,2.2874581473214284,1.7703555811689309,0.4731474312498003,14,15.590054673807964,26.958675669533804,7.205009139753863,14
Control (Single Error),mlp,15,2.5525948660714284,2.0326706781600525,0.5432540898440256,14,17.290270583970205,26.107459961598973,6.977512172515837,14
Control (Single Error),mlp,16,2.4268275669642856,1.361680695050942,0.363924473647488,14,17.783426318849838,26.753269237734354,7.150111961694344,14
Control (Single Error),mlp,17,3.1988002232142856,3.626624691167413,0.9692562189116654,14,30.29515797325543,45.921275858778685,12.272977216220225,14
Experiment (Homopolymer),attn,0,1.1114536830357142,0.26758188150161893,0.045229593127871004,35,3.9642788818904333,9.925302649840168,1.6776823527961275,35
Experiment (Homopolymer),attn,1,1.1939174107142858,0.32734772207791474,0.05533186401796752,35,4.823386859893799,13.379091982792005,2.2614793027321696,35
Experiment (Homopolymer),attn,2,1.2654436383928571,0.500466691127117,0.08459431067119705,35,5.137118506431579,11.876708552777343,2.007530153110067,35
Experiment (Homopolymer),attn,3,1.2608956473214286,0.4037513145196916,0.06824642826370977,35,5.894449322564261,15.920434277265914,2.6910445533114005,35
Experiment (Homopolymer),attn,4,1.402455357142857,0.6137517318357739,0.10374297750159997,35,5.831282596928733,11.074276010729983,1.8718942977012776,35
Experiment (Homopolymer),attn,5,1.2425502232142858,0.35787424833684983,0.06049178872793167,35,5.786385648591178,12.852092008888075,2.172400048694825,35
Experiment (Homopolymer),attn,6,1.32236328125,0.5202137394963517,0.08793217106071476,35,6.927477894510542,15.137593552762315,2.5587203194936063,35
Experiment (Homopolymer),attn,7,1.3223911830357142,0.5307349819480158,0.0897105856253256,35,6.561008426121303,15.866437524638968,2.681917436266563,35
Experiment (Homopolymer),attn,8,1.1954938616071429,0.30545958967009135,0.0516320943714609,35,7.261549884932382,20.05260607407046,3.389509068379109,35
Experiment (Homopolymer),attn,9,1.2676060267857143,0.5433166389387074,0.09183727381276917,35,5.051493031638009,10.676238366094099,1.8046136559200507,35
Experiment (Homopolymer),attn,10,1.5389787946428573,1.1620139684924888,0.19641620990507908,35,8.642831689970834,26.340041303283318,4.452279595438951,35
Experiment (Homopolymer),attn,11,1.3267578125,0.41635578600378875,0.07037697280438757,35,7.27974921975817,16.225470361625522,2.742605062219851,35
Experiment (Homopolymer),attn,12,1.30634765625,0.3829960047789289,0.06473814059658702,35,6.655185639858246,16.326724400335948,2.759720118544763,35
