Group,Component,Layer,mean_Logit,std_Logit,sem_Logit,count_Logit,mean_Posteriors,std_Posteriors,sem_Posteriors,count_Posteriors
Control (Single Error),head 0,0,0.5031323510926422,0.017017435349467584,0.004548100905663099,14,0.5229586755215622,0.09783892051723447,0.026148551404807062,14
Control (Single Error),head 0,1,0.5021366799712291,0.017300908393124526,0.004623862263359548,14,0.5220674267541011,0.09789887617029688,0.026164575227104192,14
Control (Single Error),head 0,2,0.5010860298589125,0.01236513047268876,0.003304720126539961,14,0.5356430661609254,0.10813640168470892,0.028900669010196087,14
Control (Single Error),head 0,3,0.5002244971982773,0.010743741735100783,0.0028713857589093804,14,0.5612488330253893,0.1497460009079744,0.04002130217408427,14
Control (Single Error),head 0,4,0.4998152339287884,0.012216259540176844,0.003264932696232166,14,0.5653902823016315,0.1305654870468138,0.034895094219032016,14
Control (Single Error),head 0,5,0.4991827738166704,0.0130879946839412,0.003497913713373333,14,0.5559978895136389,0.12223362258894242,0.032668309776575324,14
Control (Single Error),head 0,6,0.49858955818560974,0.010769496990963589,0.0028782691405770467,14,0.5539492603605228,0.13116297993482973,0.03505478091031699,14
Control (Single Error),head 0,7,0.49782588920560344,0.010349366349939972,0.002765984503691611,14,0.5766863534310754,0.14998732009645177,0.04008579744009403,14
Control (Single Error),head 0,8,0.49842660862676047,0.009440283736172818,0.002523021955335209,14,0.5645648979638026,0.12709322978035265,0.03396709442975816,14
Control (Single Error),head 0,9,0.49847843646878615,0.009703566375898481,0.0025933872006022713,14,0.5598302476228356,0.13656269705042415,0.03649791601260653,14
Control (Single Error),head 0,10,0.4998349475179324,0.008181889402856997,0.002186701922997666,14,0.5561561084937658,0.11660931404692519,0.031165150090737143,14
Control (Single Error),head 0,11,0.4974245965052085,0.006338841994822761,0.0016941267838229608,14,0.5602070736111578,0.1269643273009435,0.03393264379302569,14
Control (Single Error),head 0,12,0.49851838153567646,0.005363913528705754,0.0014335661911927546,14,0.5533309731144394,0.11122557904240472,0.02972628638730161,14
Control (Single Error),head 0,13,0.4998132880054852,0.007385866165796048,0.001973955764069608,14,0.5229781963166739,0.0900656609441717,0.024071060397602668,14
Control (Single Error),head 0,14,0.5003692352332784,0.006780064845343079,0.0018120485508131608,14,0.5163409907648353,0.0643185542229473,0.017189856679636503,14
Control (Single Error),head 0,15,0.5006795443599502,0.005037158178220934,0.0013462371504206518,14,0.5067238549715091,0.08217476795528489,0.021962130537594736,14
Control (Single Error),head 0,16,0.4991078607325333,0.005886537031359905,0.0015732431975647241,14,0.5067754459922628,0.06749688728724228,0.0180393019216113,14
Control (Single Error),head 0,17,0.5002276377163434,0.0008767939387794541,0.0002343330369794831,14,0.49980116059180185,0.00895465017486156,0.002393230926624809,14
Control (Single Error),head 1,0,0.5035175631175048,0.014941166858731737,0.003993194810285401,14,0.5072606145340879,0.12680911193350725,0.03389116074116078,14
Control (Single Error),head 1,1,0.5034747256270627,0.018953685811866114,0.005065585608897236,14,0.5342048596261957,0.09973143974195088,0.02665434844314791,14
Control (Single Error),head 1,2,0.5015307056256636,0.01636388890072876,0.004373433270125705,14,0.5437348820417768,0.1328895201934824,0.03551621820405631,14
Control (Single Error),head 1,3,0.49978642089793535,0.011501874373123402,0.0030740052292816482,14,0.5421282256764478,0.11496108298574785,0.030724641810368252,14
Control (Single Error),head 1,4,0.5006011206413522,0.011284327742015657,0.003015863446477928,14,0.5576419862746447,0.13483484312085173,0.03603612762554574,14
Control (Single Error),head 1,5,0.4970024567939123,0.0107766710230244,0.002880186481295138,14,0.54438355212943,0.12077411834601168,0.0322782408600332,14
